"Species name","IUCN","FUSE","EDGE2"
"Cruriraja_andamanica","1","1","1"
"Cruriraja_atlantis","1","1","1"
"Cruriraja_cadenati","1","1","1"
"Cruriraja_durbanensis","1","1","1"
"Cruriraja_hulleyi","1","1","1"
"Cruriraja_parcomaculata","3","1","1"
"Cruriraja_poeyi","3","1","1"
"Cruriraja_rugosa","2","1","1"
"Ctenacis_fehlmanni","2","1","1"
"Dactylobatus_armatus","1","1","1"
"Dactylobatus_clarkii","1","1","1"
"Dalatias_licha","3","1","1"
"Dasyatis_chrysonota","2","1","1"
"Dasyatis_hypostigma","5","2","1"
"Dasyatis_marmorata","3","1","1"
"Dasyatis_pastinaca","2","1","1"
"Deania_calcea","5","2","1"
"Deania_hystricosa","2","1","1"
"Deania_profundorum","4","2","1"
"Deania_quadrispinosa","3","1","1"
"Dipturus_flindersi","3","1","1"
"Dentiraja_lemprieri","4","2","1"
"Diplobatis_colombiensis","3","1","1"
"Diplobatis_guamachensis","3","1","1"
"Diplobatis_ommata","3","1","1"
"Diplobatis_pictus","2","1","1"
"Dipturus_acrobelus","4","2","1"
"Dipturus_apricus","2","1","1"
"Zearaja_argentinensis","4","2","3"
"Dipturus_australis","3","1","1"
"Dipturus_batis","3","1","1"
"Dipturus_bullisi","3","1","1"
"Dipturus_campbelli","5","2","1"
"Dipturus_canutus","1","1","1"
"Dipturus_cerva","2","1","1"
"Zearaja_chilensis","4","1","1"
"Raja_chinensis","3","1","1"
"Dipturus_confusus","2","1","1"
"Dipturus_crosnieri","4","2","1"
"Dipturus_doutrei","2","1","1"
"Dipturus_endeavouri","3","1","1"
"Dipturus_falloargus","1","1","1"
"Dipturus_garricki","3","1","1"
"Dipturus_gigas","3","1","1"
"Dipturus_grahami","1","1","1"
"Dipturus_gudgeri","3","1","1"
"Dipturus_healdi","1","1","1"
"Dipturus_innominatus","1","1","1"
"Dipturus_johannisdavisi","2","1","1"
"Dipturus_laevis","5","1","1"
"Dipturus_lanceorostratus","1","1","1"
"Dipturus_macrocauda","2","1","1"
"Dipturus_melanospilus","4","1","1"
"Dipturus_mennii","2","1","1"
"Zearaja_nasuta","5","2","1"
"Dipturus_nidarosiensis","3","1","1"
"Dipturus_oculus","1","1","1"
"Dipturus_olseni","2","1","1"
"Dipturus_oregoni","1","1","1"
"Dipturus_oxyrinchus","1","1","1"
"Dipturus_polyommata","1","1","1"
"Dipturus_pullopunctatus","2","1","1"
"Dipturus_queenslandicus","1","1","1"
"Dipturus_springeri","2","1","1"
"Dipturus_stenorhynchus","1","1","1"
"Dipturus_teevani","1","1","1"
"Dipturus_tengu","1","1","1"
"Dipturus_trachyderma","1","1","1"
"Dipturus_wengi","1","1","1"
